"Group.1","Group.2","Group.3","Group.4","x"
"../scenariosimul/cleankdd_train.csv",2,"svm","accuracy",0.8848
"../scenariosimul/connect-4Train.csv",2,"svm","accuracy",0.596
"../scenariosimul/covtype.data",2,"svm","accuracy",0.4712
"../scenariosimul/HIGGS.csv",2,"svm","accuracy",0.548
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",2,"svm","accuracy",0.5904
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",2,"svm","accuracy",0.7904
"../scenariosimul/spambase.data",2,"svm","accuracy",0.7352
"../scenariosimul/cleankdd_train.csv",4,"svm","accuracy",0.8848
"../scenariosimul/connect-4Train.csv",4,"svm","accuracy",0.596
"../scenariosimul/covtype.data",4,"svm","accuracy",0.4712
"../scenariosimul/HIGGS.csv",4,"svm","accuracy",0.548
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",4,"svm","accuracy",0.5904
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",4,"svm","accuracy",0.7904
"../scenariosimul/spambase.data",4,"svm","accuracy",0.7352
"../scenariosimul/cleankdd_train.csv",7,"svm","accuracy",0.8848
"../scenariosimul/connect-4Train.csv",7,"svm","accuracy",0.596
"../scenariosimul/covtype.data",7,"svm","accuracy",0.4712
"../scenariosimul/HIGGS.csv",7,"svm","accuracy",0.548
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",7,"svm","accuracy",0.5904
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",7,"svm","accuracy",0.7904
"../scenariosimul/spambase.data",7,"svm","accuracy",0.7352
"../scenariosimul/cleankdd_train.csv",11,"svm","accuracy",0.8848
"../scenariosimul/connect-4Train.csv",11,"svm","accuracy",0.596
"../scenariosimul/covtype.data",11,"svm","accuracy",0.4712
"../scenariosimul/HIGGS.csv",11,"svm","accuracy",0.548
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",11,"svm","accuracy",0.5904
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",11,"svm","accuracy",0.7904
"../scenariosimul/spambase.data",11,"svm","accuracy",0.7352
"../scenariosimul/cleankdd_train.csv",15,"svm","accuracy",0.8848
"../scenariosimul/connect-4Train.csv",15,"svm","accuracy",0.596
"../scenariosimul/covtype.data",15,"svm","accuracy",0.4712
"../scenariosimul/HIGGS.csv",15,"svm","accuracy",0.548
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",15,"svm","accuracy",0.5904
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",15,"svm","accuracy",0.7904
"../scenariosimul/spambase.data",15,"svm","accuracy",0.7352
"../scenariosimul/cleankdd_train.csv",2,"xgboost","accuracy",0.9272
"../scenariosimul/connect-4Train.csv",2,"xgboost","accuracy",0.5968
"../scenariosimul/covtype.data",2,"xgboost","accuracy",0.636
"../scenariosimul/HIGGS.csv",2,"xgboost","accuracy",0.6072
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",2,"xgboost","accuracy",0.572
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",2,"xgboost","accuracy",0.7328
"../scenariosimul/spambase.data",2,"xgboost","accuracy",0.9016
"../scenariosimul/cleankdd_train.csv",4,"xgboost","accuracy",0.9272
"../scenariosimul/connect-4Train.csv",4,"xgboost","accuracy",0.5968
"../scenariosimul/covtype.data",4,"xgboost","accuracy",0.636
"../scenariosimul/HIGGS.csv",4,"xgboost","accuracy",0.6072
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",4,"xgboost","accuracy",0.572
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",4,"xgboost","accuracy",0.7328
