"DATASET","P","CLASSIFIER","STAT","BASE.SUM","BASE.PROD","BASE.MAJ","BASE.MIN","BASE.MAX","DIST.SUM","DIST.PROD","DIST.MAJ","DIST.MIN","DIST.MAX","REV.SUM","REV.PROD","REV.MAJ","REV.MIN","REV.MAX","GLOBAL"
"kdd",7,"xgboost","precision",0.900237320511372,0.902461215432636,0.891312939874438,0.899979324744218,0.897401805191346,0.901594382399832,0.902461215432636,0.889445007920526,0.894677033771343,0.883871153071081,0.903038883556885,0.902461215432636,0.884739198310473,0.898143376873104,0.898844271750773,0.618583874703011
"simulC2",7,"xgboost","precision",0.573323568667625,0.570243319985051,0.570524290651049,0.554257518537211,0.554257518537211,0.583496478137266,0.570243319985051,0.566030887078596,0.551694871095804,0.58161534648033,0.616874732506296,0.570243319985051,0.623836541801442,0.513641721416652,0.626765893442877,0.588681854079258
"simulC8",7,"xgboost","precision",0.528109165294723,0.491368412067802,0.501830041053908,0.273474378024924,0.492515502763242,0.544186343795201,0.491368412067802,0.507715150119576,0.264253432030938,0.516347304089264,0.629353023872894,0.491368412067802,0.604891182172208,0.18939281051605,0.600860562402872,0.692354962060925
"spambase",7,"xgboost","precision",0.881086007352363,0.876027893417011,0.885594840541621,0.865062750491996,0.865062750491996,0.871291411725928,0.876027893417011,0.87999403000464,0.85951891489064,0.841324547928043,0.852842603728091,0.876027893417011,0.834161026384963,0.863252883401252,0.820196972443659,0.911316493699982
"connect4",11,"xgboost","precision",0.505930411686587,0.505930411686587,0.506003387191299,0.505410699781114,0.503894149482961,0.505930411686587,0.505930411686587,0.506536720524632,0.505410699781114,0.565091316662796,0.538626356495284,0.505930411686587,0.59362665140608,0.53760218579235,0.566240184753735,0.952458277535611
"covtype",11,"xgboost","precision",0.620919399662159,0.621158617946407,0.617023305634,0.612398638652577,0.623896178639673,0.614922433894832,0.621158617946407,0.619934534402724,0.582148610999689,0.587087890313815,0.620919399662159,0.621158617946407,0.614870091221984,0.612398638652577,0.623896178639673,0.597183252854044
"HIGGS",11,"xgboost","precision",0.568270495572073,0.561927190163021,0.564690383225281,0.545846381620444,0.545846381620444,0.559872711979167,0.561927190163021,0.565411220780161,0.544641329909967,0.544213883670937,0.561819170006472,0.561927190163021,0.554939200743952,0.545467872113451,0.552100565297008,0.654057270843078
"kdd",11,"xgboost","precision",0.842364049938933,0.840816253126091,0.891262306569342,0.841270613444583,0.837714638297258,0.89369891582885,0.840816253126091,0.853653134530613,0.833309136658149,0.883928800844524,0.892745168231096,0.840816253126091,0.861958090799693,0.840849389148018,0.871627851900856,0.618583874703011
"simulC2",11,"xgboost","precision",0.547908356689599,0.553003656083715,0.545092673406176,0.561820156592987,0.561820156592987,0.551578767072624,0.553003656083715,0.543880721966198,0.545961103651914,0.525616364266588,0.602627961895697,0.553003656083715,0.605483490149864,0.481874833107799,0.599581419724621,0.588681854079258
"simulC8",11,"xgboost","precision",0.411164663718666,0.345486350513175,0.438157770262604,0.216672774146716,0.39863746311646,0.426404086458475,0.345486350513175,0.425936865131622,0.224024147818145,0.364089211676922,0.562737904606366,0.345486350513175,0.531943495649313,0.180948320830721,0.515863685476753,0.692354962060925
"spambase",11,"xgboost","precision",0.835144191810858,0.835780098138781,0.838816550074068,0.819083054626533,0.819083054626533,0.840326499229594,0.835780098138781,0.845029214473078,0.788753317303411,0.821577504571229,0.822607685799285,0.835780098138781,0.82498225535509,0.812517426685091,0.776176281594108,0.911316493699982
"connect4",15,"xgboost","precision",0.477419389110226,0.477419389110226,0.660952380952381,0.611173439575033,0.477419389110226,0.477419389110226,0.477419389110226,0.596106772908367,0.566728995130589,0.574061548787334,0.544506772908367,0.477419389110226,0.534822287224734,0.526365657910742,0.54518424638748,0.952458277535611
"covtype",15,"xgboost","precision",0.601579317569065,0.59862410250904,0.597642896428011,0.571589748050121,0.549542813493147,0.599140469457659,0.59862410250904,0.587028111730359,0.576798745346865,0.535086734012719,0.601579317569065,0.59862410250904,0.598294783064735,0.571589748050121,0.549542813493147,0.597183252854044
"HIGGS",15,"xgboost","precision",0.537070487646251,0.543688655149236,0.529853055925965,0.542796080820388,0.542796080820388,0.537761668604114,0.543688655149236,0.531582849916215,0.537469217885601,0.509308701152785,0.537376004882243,0.543688655149236,0.537227895362185,0.507563917759074,0.523052820302281,0.654057270843078
"kdd",15,"xgboost","precision",0.952661677944485,0.953291232541607,0.948443506308741,0.950557415645225,0.952524304080602,0.952284476693462,0.953291232541607,0.948431003317408,0.945262995925817,0.937191308487634,0.951711714757579,0.953291232541607,0.936868628694836,0.946247317207119,0.926665353503922,0.618583874703011
"simulC2",15,"xgboost","precision",0.537153513094977,0.522972689986951,0.506601319106919,0.496318407245917,0.496318407245917,0.525060764913945,0.522972689986951,0.504124679122048,0.495089157144302,0.516974839525595,0.609934274744583,0.522972689986951,0.610280444290622,0.466280749112915,0.615237055153519,0.588681854079258
"simulC8",15,"xgboost","precision",0.372494535870513,0.331672460447777,0.368346410056773,0.196541174117622,0.319326448469684,0.370393078386861,0.331672460447777,0.368747835427404,0.200213222119953,0.344753248847576,0.537651585372989,0.331672460447777,0.51548526767873,0.225325988977746,0.488934927392969,0.692354962060925
"spambase",15,"xgboost","precision",0.871291326661615,0.869903964666396,0.865328327517447,0.852758839001713,0.852758839001713,0.869617648212068,0.869903964666396,0.861208543828193,0.830270524278304,0.814540656937564,0.845197090231537,0.869903964666396,0.862496064004534,0.83451006740343,0.8063734663756,0.911316493699982
"connect4",2,"forest","recall",0.648656063986424,0.648716124046484,0.631803765532979,0.649654867232833,0.648076416497504,0.648656063986424,0.648716124046484,0.626717086819222,0.651443782087362,0.651484446227044,0.648656063986424,0.648716124046484,0.646108843824637,0.649323805788551,0.650230206957252,0.963834299347268
"covtype",2,"forest","recall",0.683039138061315,0.68221830465419,0.652103008645725,0.682725988633097,0.679918110492923,0.680912710225253,0.68221830465419,0.651606743810139,0.679844225345849,0.662736358933182,0.683039138061315,0.68221830465419,0.647092623323602,0.682725988633097,0.679918110492923,0.627205166063267
"HIGGS",2,"forest","recall",0.591498927460044,0.591498927460044,0.642597214417354,0.591498927460044,0.591498927460044,0.588204012205807,0.590568709456048,0.570629843801928,0.586795693439163,0.566901628447989,0.593496839352074,0.591816167083166,0.550893412403482,0.583531421320454,0.567585143271484,0.695951813699937
"kdd",2,"forest","recall",0.96813335643264,0.9668253583259,0.949449872351981,0.960586176666969,0.968991033926919,0.963968898550722,0.9668253583259,0.957958348171048,0.954252786690654,0.963997040333751,0.966060329197054,0.9668253583259,0.958317193565807,0.95509759012124,0.968633088840296,0.624671719125491
"simulC2",2,"forest","recall",0.5657386789076,0.5657386789076,0.573856757927407,0.5657386789076,0.5657386789076,0.564247201634873,0.566896254665176,0.527731210482151,0.548336508171902,0.564096364971309,0.574117078102872,0.5673199289076,0.588217648241016,0.539546398579264,0.581990812438138,0.590293697862357
"simulC8",2,"forest","recall",0.717869753425615,0.703939845890194,0.649211419332475,0.671102221615209,0.721923597594346,0.702452733566868,0.703939845890194,0.696340306427154,0.687640733519431,0.700851882110891,0.74397156631751,0.703939845890194,0.7373539918468,0.610888371992657,0.74416524231226,0.792291066207359
"spambase",2,"forest","recall",0.933425426067507,0.933425426067507,0.933333994346231,0.933425426067507,0.933425426067507,0.933994511147485,0.932363174411878,0.922007222931263,0.927025247080573,0.934403168031873,0.933679020838749,0.933425426067507,0.928109579640636,0.924833547846826,0.928763174411878,0.904161194887371
"connect4",4,"forest","recall",0.636979368581284,0.634993325385322,0.627129032485634,0.632852007927757,0.631946239707961,0.635986346983303,0.634993325385322,0.62813350592459,0.636135486724744,0.62776312721134,0.636215266313592,0.634993325385322,0.629050742597336,0.633558162670614,0.62907820814605,0.963834299347268
"covtype",4,"forest","recall",0.686441756519883,0.684871406629956,0.675078851760915,0.678010393476708,0.678489682834568,0.687459071568894,0.684871406629956,0.675227801046409,0.658857350860265,0.666699726156377,0.686441756519883,0.684871406629956,0.675078851760915,0.678010393476708,0.678489682834568,0.627205166063267
"HIGGS",4,"forest","recall",0.512713466116447,0.51261146693244,0.510700354133431,0.524134714280527,0.524134714280527,0.517235049143783,0.51261146693244,0.569695029604598,0.50859858031905,0.507836835028397,0.5233074633337,0.51261146693244,0.529214935757437,0.519824535768549,0.515274268381677,0.695951813699937
"kdd",4,"forest","recall",0.963836175949918,0.963836175949918,0.963227043124019,0.962614663101066,0.965487006491607,0.959674962321204,0.963836175949918,0.961330284487339,0.963222010283651,0.951767285467691,0.964238605099715,0.963836175949918,0.964468924879423,0.958884518381809,0.966383214944941,0.624671719125491
"simulC2",4,"forest","recall",0.573613308576458,0.573001536154749,0.560528915889956,0.553523632683461,0.553523632683461,0.578319857125156,0.573001536154749,0.528695295795232,0.576106544683305,0.541964395916158,0.590361922631937,0.573001536154749,0.586902820694217,0.498158545314235,0.599366031779551,0.590293697862357
"simulC8",4,"forest","recall",0.738698885863014,0.688004585037212,0.724689915741445,0.63703045158505,0.767797611973072,0.739711837827237,0.688004585037212,0.689811656136724,0.649477209110879,0.686305821644804,0.771388319041747,0.688004585037212,0.736506629841071,0.530424796687829,0.738291903646902,0.792291066207359
"spambase",4,"forest","recall",0.923742430230006,0.924142430230006,0.914636100513654,0.921888835458765,0.921888835458765,0.924142430230006,0.924142430230006,0.903416750334475,0.911726781861989,0.929538384922563,0.921884535493164,0.924142430230006,0.917229808870783,0.919421885538668,0.917358811345559,0.904161194887371
"connect4",7,"forest","recall",0.675408106703832,0.675408106703832,0.677121348712964,0.675979187373543,0.675979187373543,0.675408106703832,0.675408106703832,0.677121348712964,0.675979187373543,0.672213713645512,0.675979187373543,0.675408106703832,0.671527286086939,0.676105823598809,0.660243427815122,0.963834299347268
"covtype",7,"forest","recall",0.606396644300648,0.606987760780263,0.595359167997695,0.611080545026311,0.584804839694355,0.609154041363628,0.606987760780263,0.595366098987377,0.575601134266676,0.585633247389664,0.606396644300648,0.606987760780263,0.595359167997695,0.611080545026311,0.583741385392649,0.627205166063267
"HIGGS",7,"forest","recall",0.583964463376001,0.58661418388049,0.568756290149801,0.594128454685068,0.594128454685068,0.583770976826968,0.58661418388049,0.566079303111405,0.574190558858162,0.571183867917704,0.586862315024901,0.58661418388049,0.56080532724348,0.578532956580274,0.556714843425926,0.695951813699937
"kdd",7,"forest","recall",0.909437836807004,0.908574145121207,0.913711531917494,0.90966715297597,0.911780130400739,0.916250299610051,0.908574145121207,0.914114783950014,0.904357709075231,0.917327135733369,0.907549371296298,0.908574145121207,0.909660588232632,0.913159491736823,0.910091676241349,0.624671719125491
"simulC2",7,"forest","recall",0.551847753514511,0.552960004226761,0.552918708288154,0.562995363140495,0.562995363140495,0.560085486740366,0.552960004226761,0.551436427969692,0.53605575050769,0.56386089100902,0.64281467820953,0.552960004226761,0.630494431242365,0.48066067564516,0.63703018823446,0.590293697862357
"simulC8",7,"forest","recall",0.61695873771221,0.464577077722145,0.629518278597189,0.309656917644439,0.638185381228073,0.625957102910561,0.464577077722145,0.62144959671357,0.287755027723686,0.614722310813269,0.721772090573273,0.464577077722145,0.709174798212274,0.250423883639104,0.69536227107364,0.792291066207359
"spambase",7,"forest","recall",0.879187076820184,0.879187076820184,0.871103363676734,0.87909182124669,0.87909182124669,0.878087509326095,0.879187076820184,0.869841294711217,0.863082415527359,0.860655831781622,0.879778602625909,0.879187076820184,0.878413615325147,0.878966303276695,0.862396318158544,0.904161194887371
"connect4",11,"forest","recall",0.590037933473178,0.590037933473178,0.590037933473178,0.590304600139845,0.590304600139845,0.590037933473178,0.590037933473178,0.590037933473178,0.590304600139845,0.590925444488159,0.587350504957137,0.590037933473178,0.586741676951048,0.586751459231554,0.570552613763104,0.963834299347268
"covtype",11,"forest","recall",0.593595601838495,0.593653651373716,0.593166874849588,0.60567289804863,0.592655644042844,0.596508556516836,0.593653651373716,0.59663537998082,0.564376578968759,0.569913533114564,0.592573797086555,0.593653651373716,0.593166874849588,0.60567289804863,0.592655644042844,0.627205166063267
"HIGGS",11,"forest","recall",0.645481187838857,0.649034831805404,0.661328134979869,0.633714451978736,0.633714451978736,0.654552049954817,0.649034831805404,0.664141038205675,0.655374818297096,0.604594673665473,0.651948752784514,0.649034831805404,0.652461894808224,0.619014548048937,0.606807925758444,0.695951813699937
"kdd",11,"forest","recall",0.859227125038296,0.859227125038296,0.85680985538375,0.857580284838801,0.862489676106995,0.860237492492364,0.859227125038296,0.859608281346609,0.856308086687993,0.895991807323823,0.860031989974042,0.859227125038296,0.892191641819804,0.858403704938549,0.892572691655664,0.624671719125491
"simulC2",11,"forest","recall",0.520348564311468,0.524867664383263,0.502287996197412,0.556069808032769,0.556069808032769,0.516480634566794,0.524867664383263,0.501477047097353,0.540156376276399,0.543176231841518,0.604685733816193,0.524867664383263,0.602222051044059,0.468780467839968,0.628011791063918,0.590293697862357
"simulC8",11,"forest","recall",0.502127288284988,0.339731167976628,0.506352560058286,0.231125891466399,0.572668811855861,0.49287306289404,0.339731167976628,0.531948783188492,0.229070001183598,0.522859196848609,0.705853701922789,0.339731167976628,0.700629343560587,0.189465066947648,0.693842959949184,0.792291066207359
"spambase",11,"forest","recall",0.872931899641577,0.872931899641577,0.866523297491039,0.869956989247312,0.869956989247312,0.864336917562724,0.872931899641577,0.872695340501792,0.835096774193548,0.872910394265233,0.867641577060932,0.872931899641577,0.864064516129032,0.864064516129032,0.869383512544803,0.904161194887371
"connect4",15,"forest","recall",0.587219621316461,0.587219621316461,0.587219621316461,0.587219621316461,0.587219621316461,0.587219621316461,0.587219621316461,0.587219621316461,0.587219621316461,0.587219621316461,0.587219621316461,0.587219621316461,0.587219621316461,0.589578561551384,0.585705918173445,0.963834299347268
"covtype",15,"forest","recall",0.647785376882361,0.648464216577526,0.649145719493987,0.634262181455026,0.629482042878097,0.651303229141432,0.648464216577526,0.64440212028348,0.614495533743782,0.594912884265919,0.647785376882361,0.648464216577526,0.649145719493987,0.634262181455026,0.629482042878097,0.627205166063267
"HIGGS",15,"forest","recall",0.575459057167647,0.577341270606382,0.571172808145078,0.57569454459762,0.57569454459762,0.571453830992855,0.577341270606382,0.580526708227557,0.571300983322086,0.558893930824684,0.569247876431334,0.577341270606382,0.576477745107491,0.545027111518151,0.543931256895573,0.695951813699937
"kdd",15,"forest","recall",0.969192222992793,0.969192222992793,0.969192222992793,0.970173993105324,0.96872627570297,0.968583223327353,0.969192222992793,0.969192222992793,0.968764359594449,0.969676130869197,0.970657900981728,0.969192222992793,0.967612582407614,0.968772864124336,0.96597010082001,0.624671719125491
"simulC2",15,"forest","recall",0.512388652418383,0.509886641545802,0.495710200214741,0.524180800994479,0.524180800994479,0.514353820531117,0.509886641545802,0.493093437043441,0.492044009280375,0.505023507366209,0.619172273339921,0.509886641545802,0.619093656896803,0.466303149852789,0.634223340123273,0.590293697862357
"simulC8",15,"forest","recall",0.527767376931321,0.382309630342791,0.565061325291051,0.236014745176346,0.584554659509881,0.556734542807863,0.382309630342791,0.526066239634834,0.240005054729627,0.536770326004477,0.70137406131431,0.382309630342791,0.669596617042043,0.234409993121068,0.661576858191809,0.792291066207359
"spambase",15,"forest","recall",0.848345925421827,0.848345925421827,0.84339494502967,0.853945041991532,0.853945041991532,0.844043081207218,0.848345925421827,0.846416707580844,0.861459263064576,0.852047133448462,0.84215426414193,0.848345925421827,0.839122322332948,0.847564843758392,0.841663627643704,0.904161194887371
"connect4",2,"lda","recall",0.536893487733016,0.548498481138302,0.475931070083821,0.546191774808087,0.535370723239374,0.547385670958687,0.548498481138302,0.492140092598279,0.548100567058634,0.548844703126342,0.564104172428824,0.548498481138302,0.556896094289895,0.54562480784112,0.561784953792517,0.873643904907837
"covtype",2,"lda","recall",0.593375310879484,0.62002224827012,0.588785928977211,0.618299618889337,0.594608049489298,0.572772408602803,0.62002224827012,0.570124498219512,0.619296852074792,0.561712099840832,0.593375310879484,0.62002224827012,0.596461306019572,0.618299618889337,0.594608049489298,0.556534156818547
"HIGGS",2,"lda","recall",0.587445478283763,0.587445478283763,0.607582727143246,0.587445478283763,0.587445478283763,0.58917778439573,0.587445478283763,0.584770985744067,0.591275781314066,0.569911287781677,0.587315123892392,0.587445478283763,0.558920295390884,0.582467802652648,0.588058456664638,0.591318512532684
"kdd",2,"lda","recall",0.886124826694149,0.844902053162564,0.886124826694149,0.844902053162564,0.886124826694149,0.827789232100265,0.844902053162564,0.870077372569255,0.844902053162564,0.827789232100265,0.844809019335038,0.844902053162564,0.844809019335038,0.844902053162564,0.844809019335038,0.600122088163287
"simulC2",2,"lda","recall",0.537933699355435,0.537933699355435,0.531083291600717,0.537933699355435,0.537933699355435,0.533593595272613,0.537933699355435,0.489147525177359,0.529607763441392,0.524184737261053,0.545186536253954,0.537933699355435,0.543506287786742,0.505382291369931,0.550584998178735,0.493035994525547
"simulC8",2,"lda","recall",0.355103460096072,0.342586697767307,0.303418701821607,0.322447344441668,0.370582844547865,0.356743005843561,0.342586697767307,0.339919359020857,0.32376572575765,0.3706130644755,0.371212338113489,0.342586697767307,0.361305324719948,0.280292822222396,0.375627864102656,0.35189450468769
"spambase",2,"lda","recall",0.878969854017077,0.877916259245835,0.892936757748084,0.877916259245835,0.878969854017077,0.859499506956621,0.877916259245835,0.857082747446392,0.878969854017077,0.856454569069766,0.855346750574664,0.877916259245835,0.842455920018081,0.877769854017077,0.85090121188529,0.858997517226587
"connect4",4,"lda","recall",0.448553530257424,0.399697687997546,0.417499750296999,0.401963648104312,0.375593662293057,0.463411434322356,0.399697687997546,0.436439534502756,0.401963648104312,0.425340431169279,0.467535673869137,0.399697687997546,0.470225099138807,0.406337625730389,0.427134787953156,0.873643904907837
"covtype",4,"lda","recall",0.407043846251261,0.400670803821475,0.404991821312729,0.411043722822216,0.383589822066319,0.399953252191017,0.401849330215213,0.389105431225217,0.411043722822216,0.367855738025011,0.407043846251261,0.401249052855888,0.404991821312729,0.411043722822216,0.383589822066319,0.556534156818547
"HIGGS",4,"lda","recall",0.559579552480064,0.550438127870801,0.563175667886965,0.54992903944241,0.54992903944241,0.567124143094767,0.550438127870801,0.62039546567144,0.546635151314394,0.548951567139111,0.560339522382722,0.550438127870801,0.576173281497265,0.550763252584089,0.538171199298538,0.591318512532684
"kdd",4,"lda","recall",0.887003872084403,0.871994301753511,0.883479137542719,0.869107831860478,0.881066365464151,0.815835567721208,0.871994301753511,0.85605706753033,0.868502137324599,0.810612875022964,0.873271353718421,0.871994301753511,0.870239918389587,0.869597437820571,0.862831623733289,0.600122088163287
"simulC2",4,"lda","recall",0.537316961854823,0.532489867297564,0.535360745938841,0.524011534585204,0.524011534585204,0.537687806412083,0.532489867297564,0.467440862890278,0.537160259487504,0.504554268692909,0.53707569207787,0.532489867297564,0.520536051893401,0.49539463926716,0.525918713263221,0.493035994525547
"simulC8",4,"lda","recall",0.382996473189094,0.33592560956334,0.400182733325186,0.331121360926677,0.383706062496843,0.377339484250962,0.33592560956334,0.374026074710598,0.331291517348813,0.367727468015719,0.415456834426806,0.33592560956334,0.440204884933044,0.281840428007633,0.42138891238878,0.35189450468769
"spambase",4,"lda","recall",0.70834727557308,0.63167761516647,0.707258614617773,0.614206748273112,0.719490829393556,0.676034288152928,0.63167761516647,0.580076136601869,0.614206748273112,0.647591015476325,0.678185037030752,0.630263223430504,0.680650859815562,0.616060343044354,0.629575114479384,0.858997517226587
"connect4",7,"lda","recall",0.50173140105004,0.451724053632707,0.450486341903494,0.425259713749003,0.335381876001817,0.497036835838823,0.451724053632707,0.486936475109478,0.424993047082336,0.4335414663087,0.507132566614915,0.452299362274683,0.497822083840516,0.423928659617949,0.451661361600592,0.873643904907837
"covtype",7,"lda","recall",0.535570519313922,0.452596526593121,0.543090006384905,0.431676423325125,0.344622438575161,0.544436910659787,0.452933226929821,0.488113155097989,0.431706889025071,0.443273445877055,0.535570519313922,0.454580889539977,0.542115980410879,0.431676423325125,0.344851931662719,0.556534156818547
"HIGGS",7,"lda","recall",0.556831937971679,0.565067009540737,0.547693722471784,0.529330251058811,0.51922367703408,0.556988308722474,0.565067009540737,0.547693722471784,0.527821031200655,0.523431462706294,0.554104483590218,0.565067009540737,0.549913282187623,0.529850839126222,0.542979801996129,0.591318512532684
"kdd",7,"lda","recall",0.865140239528532,0.744050985635356,0.871547737702309,0.751658960502513,0.755539908304729,0.814830532448583,0.742978159069625,0.860558630569784,0.751658960502513,0.709375901454289,0.857852921437196,0.742978159069625,0.856615448899979,0.751658960502513,0.873081399361557,0.600122088163287
"simulC2",7,"lda","recall",0.522647770363606,0.519297815530724,0.535263933027406,0.496600378338627,0.496600378338627,0.540924824978139,0.519297815530724,0.547618495179933,0.512070208171631,0.530355735729284,0.579754866270058,0.519297815530724,0.584465916310136,0.484541068082034,0.601541120002584,0.493035994525547
"simulC8",7,"lda","recall",0.408180451292922,0.360564295128428,0.413576673721975,0.238620921263207,0.364311617088626,0.407045919242479,0.360564295128428,0.40460049458201,0.226215243567141,0.428196212946078,0.533934234702818,0.360564295128428,0.514020279348471,0.193927472150515,0.526674604002226,0.35189450468769
"spambase",7,"lda","recall",0.786070465334695,0.640462956626418,0.780480798663429,0.612674818045486,0.669096026009674,0.765895373249227,0.640462956626418,0.777122459465681,0.61519895597652,0.694365445596822,0.718361098300146,0.643223193624443,0.714146495811711,0.612883292239761,0.667772175305971,0.858997517226587
"connect4",11,"lda","recall",0.510084581627663,0.401886422091749,0.496305302522623,0.395620066098425,0.372321610847789,0.519683689227228,0.399739247525499,0.512288130821532,0.398799919578279,0.465393179280897,0.525310932645983,0.399739247525499,0.520768863095019,0.399818765648494,0.48793568633038,0.873643904907837
"covtype",11,"lda","recall",0.557307984748778,0.46352967393465,0.567278554680995,0.472854906734361,0.452810812992691,0.529500098714928,0.46352967393465,0.547228328325065,0.465374491588883,0.374395263904651,0.557307984748778,0.46352967393465,0.565959130881437,0.472854906734361,0.448199573877136,0.556534156818547
"HIGGS",11,"lda","recall",0.585363881933069,0.558247176793105,0.581168354385277,0.534338957470412,0.52262182947687,0.580746355291901,0.558247176793105,0.581120234084526,0.53435009642892,0.513263567207451,0.569504878093335,0.558247176793105,0.568604784494975,0.538303740395467,0.524627304182132,0.591318512532684
"kdd",11,"lda","recall",0.837813566169706,0.613021938217074,0.83777408152757,0.624807066098557,0.680074770226548,0.856710545787971,0.613021938217074,0.823866099682404,0.624807066098557,0.83967490188067,0.82893587532198,0.605068502588836,0.834443080926148,0.624807066098557,0.757315687078784,0.600122088163287
"simulC2",11,"lda","recall",0.487994124631277,0.484063671930263,0.495116286341754,0.468515298012632,0.468515298012632,0.482607756168959,0.484063671930263,0.504843836726707,0.46545223785479,0.504995606926634,0.568453298903781,0.484063671930263,0.571783910927416,0.428067244194641,0.582782317172334,0.493035994525547
"simulC8",11,"lda","recall",0.396641968011983,0.333162760644797,0.431531569931162,0.278900379894965,0.304016535171768,0.406097820535396,0.333162760644797,0.419185190642731,0.281207975909238,0.350519890308674,0.545010092741268,0.333162760644797,0.506382080641992,0.258349272292778,0.510560932058604,0.35189450468769
"spambase",11,"lda","recall",0.805197132616487,0.683792114695341,0.790867383512545,0.62678853046595,0.689146953405018,0.782408602150538,0.683075268817204,0.766924731182796,0.636508960573477,0.72031541218638,0.75521146953405,0.689670250896057,0.751354838709677,0.62878853046595,0.738021505376344,0.858997517226587
"connect4",15,"lda","recall",0.513970861394429,0.384547380516556,0.517972479796961,0.365006445208512,0.313045762763068,0.513091416319626,0.382692295139905,0.5231575604696,0.365006445208512,0.473962623392156,0.498062347868161,0.386535838027696,0.515469970872757,0.363017340507903,0.471753838389827,0.873643904907837
"covtype",15,"lda","recall",0.527337964411949,0.383641998571516,0.555012347373992,0.392251253730059,0.316509882505897,0.541419635412943,0.383641998571516,0.548770518704084,0.392656585141041,0.431605443895187,0.527337964411949,0.383641998571516,0.551703597714735,0.392251253730059,0.315158896832736,0.556534156818547
"HIGGS",15,"lda","recall",0.540104114849449,0.521412851205587,0.529565582120248,0.508143729982754,0.508143729982754,0.534292392643294,0.521412851205587,0.529965582120248,0.508366989084911,0.497373583662714,0.535870742418887,0.521412851205587,0.527191928832332,0.504134243816747,0.511837889499448,0.591318512532684
"kdd",15,"lda","recall",0.879488406832896,0.743643612109164,0.879302725073887,0.744257735162871,0.786694558090804,0.882734652655516,0.743643612109164,0.865390913904648,0.744257735162871,0.835393164443106,0.816952855704974,0.743643612109164,0.824024209349223,0.744257735162871,0.761427569657442,0.600122088163287
"simulC2",15,"lda","recall",0.4960137454428,0.483718271317279,0.507067215318296,0.503564276379814,0.503564276379814,0.495249794587639,0.483718271317279,0.498228408953581,0.505280624647578,0.457227986529174,0.580695686955005,0.483718271317279,0.58195413408295,0.501108675730225,0.603460277386383,0.493035994525547
"simulC8",15,"lda","recall",0.60160637619133,0.388593873047359,0.585069271893257,0.306319086609213,0.40941567208168,0.568914403200668,0.386580779314979,0.564689925835587,0.305817573208251,0.387755586998295,0.68908889610041,0.385779104478378,0.653521966767289,0.293529955088743,0.645754613337409,0.35189450468769
"spambase",15,"lda","recall",0.809146111004745,0.575283297031874,0.821900157401106,0.536359623930782,0.60536980192483,0.785054575721559,0.574931932709921,0.799956059121145,0.532679545944252,0.609633791256182,0.786645438685287,0.574004213370437,0.78175891376176,0.535746720704975,0.704631599899152,0.858997517226587
"connect4",2,"multinom","recall",0.574429435819796,0.583880920386545,0.528294657550449,0.580807964348324,0.574388753408236,0.58387080419439,0.583880920386545,0.553510877603905,0.580180937321297,0.582478928860759,0.599665432647357,0.583880920386545,0.589232553111294,0.577612410900139,0.596995480567607,0.927374247294127
"covtype",2,"multinom","recall",0.58189627570473,0.625171926363551,0.627333848070504,0.617951734371795,0.577512065131951,0.56465046447506,0.625171926363551,0.597172312466614,0.61359015028683,0.558723806103975,0.581075692212949,0.625171926363551,0.620834078895552,0.617951734371795,0.57669148164017,0.584295258813353
"HIGGS",2,"multinom","recall",0.598821065806908,0.598821065806908,0.615992793912634,0.598821065806908,0.598821065806908,0.592555460026846,0.598821065806908,0.591386909401665,0.605539162598784,0.572804114927944,0.599753371918875,0.598821065806908,0.584408843599073,0.589087902526187,0.605336904438201,0.627199989169146
"kdd",2,"multinom","recall",0.918300416347652,0.917920854226119,0.944875044313498,0.917920854226119,0.916399825648319,0.933466443034777,0.917920854226119,0.925431060906898,0.916204050314071,0.930346410507704,0.913222431674529,0.917920854226119,0.90682373110454,0.917310091742988,0.91071199802567,0.596581353784836
"simulC2",2,"multinom","recall",0.539028645019451,0.539028645019451,0.530283291600717,0.539028645019451,0.539028645019451,0.534393595272613,0.539028645019451,0.488347525177359,0.527626513441392,0.522603487261053,0.548631614776404,0.539028645019451,0.543106287786742,0.504982291369931,0.549784998178735,0.492254744525547
"simulC8",2,"multinom","recall",0.350781341903125,0.34725957767853,0.298711903276865,0.330693876407461,0.362968129967276,0.354532301764704,0.34725957767853,0.34223084273042,0.319615010391074,0.370359781492032,0.383572979408686,0.34725957767853,0.37458970598802,0.289494859108489,0.385945928565938,0.369219271630277
"spambase",2,"multinom","recall",0.882466061062957,0.882466061062957,0.892407201438088,0.882466061062957,0.882466061062957,0.79848162299371,0.882466061062957,0.819650641683943,0.882466061062957,0.79848162299371,0.826886218725623,0.882466061062957,0.827943876383281,0.882466061062957,0.829019552058956,0.850809066604361
"connect4",4,"multinom","recall",0.508754934635997,0.498462612506663,0.486430203685701,0.475762957392725,0.319540113672137,0.501082771587715,0.498462612506663,0.50006806070662,0.475762957392725,0.400361822332147,0.509047727832895,0.496352796584189,0.507933350594772,0.474863323693091,0.461443438552799,0.927374247294127
