"DATASET","P","CLASSIFIER","STAT","BASE.SUM","BASE.PROD","BASE.MAJ","BASE.MIN","BASE.MAX","DIST.SUM","DIST.PROD","DIST.MAJ","DIST.MIN","DIST.MAX","REV.SUM","REV.PROD","REV.MAJ","REV.MIN","REV.MAX","GLOBAL"
"HIGGS",4,"forest","precision",0.586146248978874,0.585554883651993,0.610292753925483,0.593011654306766,0.593011654306766,0.585135383731656,0.585554883651993,0.595524795366136,0.569710842947246,0.579635020076879,0.59767344401338,0.585554883651993,0.575795763238394,0.58067295483374,0.573150428485113,0.653296533640633
"kdd",4,"forest","precision",0.946453409000324,0.946453409000324,0.946133802098582,0.944590534339446,0.948070075666991,0.94444788350869,0.946453409000324,0.941849600582311,0.945517156263383,0.939394334662986,0.94703975438185,0.946453409000324,0.946745891779086,0.94219702198749,0.950917792399443,0.625410335825676
"simulC2",4,"forest","precision",0.569906931597579,0.572086298867373,0.54865896853784,0.557669756311512,0.557669756311512,0.570192077998701,0.572086298867373,0.588406858465856,0.58283186908599,0.540042600873351,0.594062392948665,0.572086298867373,0.589614101111182,0.515446423915068,0.593582080578878,0.624224339188562
"simulC8",4,"forest","precision",0.697855968003713,0.662787870844427,0.682355611634214,0.592941750491585,0.717462267702407,0.710329952883008,0.662787870844427,0.643522029707711,0.597930996626582,0.651156504848279,0.735715530438263,0.662787870844427,0.714829977725042,0.502461792163873,0.725066798289333,0.786827708680371
"spambase",4,"forest","precision",0.898564329040163,0.899497370296096,0.887585903231207,0.8964539867221,0.8964539867221,0.899465799756401,0.899497370296096,0.90632261651792,0.885949625277064,0.897693881904425,0.896201352255991,0.899497370296096,0.892102952109703,0.896895999438726,0.888538865737059,0.925266097533329
"connect4",7,"forest","precision",0.521431075697211,0.521431075697211,0.523681482201276,0.522125051600826,0.522125051600826,0.521431075697211,0.521431075697211,0.523681482201276,0.522125051600826,0.520141581120585,0.522125051600826,0.521431075697211,0.52135590033825,0.522877146157916,0.590468793426246,0.956563661548738
"covtype",7,"forest","precision",0.602453453774305,0.601210583664427,0.587435100573103,0.602530843716211,0.579557375457138,0.600352594787666,0.601210583664427,0.602913485110451,0.574316720097685,0.557692810510671,0.602453453774305,0.601210583664427,0.587670689545534,0.602530843716211,0.578716977698687,0.582229235896413
"HIGGS",7,"forest","precision",0.593698717449451,0.594267219026352,0.574858114718882,0.608097996375617,0.608097996375617,0.588027630905309,0.594267219026352,0.572305663647735,0.582007501576783,0.557528280189756,0.600079489148958,0.594267219026352,0.568983512590274,0.570221226669031,0.55767738518038,0.653296533640633
"kdd",7,"forest","precision",0.895208121861005,0.894819141128367,0.895782861650832,0.895052010632766,0.896967692439775,0.899715927884605,0.894819141128367,0.896542031293074,0.890991975408513,0.898603405772253,0.893427801962179,0.894819141128367,0.893841430269642,0.900251685740045,0.895767191032574,0.625410335825676
"simulC2",7,"forest","precision",0.581324459682641,0.580761809795143,0.570916724510815,0.583974177071333,0.583974177071333,0.579063172416183,0.580761809795143,0.571911951838859,0.554448547221152,0.58459584178499,0.649395289175618,0.580761809795143,0.631573060476437,0.516432983398506,0.643216905010294,0.624224339188562
"simulC8",7,"forest","precision",0.621426091145578,0.516689109909714,0.618915883861428,0.324318316320049,0.645439065576216,0.629536134911504,0.516689109909714,0.608384657608525,0.311046262421086,0.616993733037362,0.710511516947663,0.516689109909714,0.692228459909591,0.263332412386579,0.687230753363623,0.786827708680371
"spambase",7,"forest","precision",0.890019867214979,0.890019867214979,0.887149001656522,0.892305097915607,0.892305097915607,0.892094121214878,0.890019867214979,0.886691806506671,0.871266676220809,0.874168673099101,0.889944347320865,0.890019867214979,0.887990110531126,0.890520372317311,0.881411033397775,0.925266097533329
"connect4",11,"forest","precision",0.505930411686587,0.505930411686587,0.505930411686587,0.50652264729569,0.50652264729569,0.505930411686587,0.505930411686587,0.505930411686587,0.50652264729569,0.529135746619258,0.505685513727404,0.505930411686587,0.506155298695479,0.504761327415647,0.57069756874008,0.956563661548738
"covtype",11,"forest","precision",0.58858508961563,0.590766174796617,0.583795517404968,0.598291482875901,0.583501857041242,0.587266480409656,0.590766174796617,0.58673582688778,0.551255865773481,0.549804279037853,0.587778781637894,0.590766174796617,0.584184855530155,0.598291482875901,0.583501857041242,0.582229235896413
"HIGGS",11,"forest","precision",0.553565917288266,0.556736183459955,0.5792521657132,0.570053506275782,0.570053506275782,0.571753790538872,0.556736183459955,0.583329462246556,0.579076182943111,0.576519421932933,0.574222892822548,0.556736183459955,0.579467111569811,0.549132562998141,0.569264862365489,0.653296533640633
"kdd",11,"forest","precision",0.838199447327063,0.838199447327063,0.838936208320208,0.837338630481797,0.840832338683595,0.838462142577807,0.838199447327063,0.840103737691007,0.837338923911249,0.892983985187458,0.8395548626899,0.838199447327063,0.891129996303306,0.837769294920815,0.89194785753386,0.625410335825676
"simulC2",11,"forest","precision",0.571415171650056,0.573962352770268,0.556517814894553,0.573805648313497,0.573805648313497,0.563446073075539,0.573962352770268,0.563660076918763,0.567529787614685,0.547610388126643,0.623837940574897,0.573962352770268,0.61790739453732,0.506219978150452,0.632237178964619,0.624224339188562
"simulC8",11,"forest","precision",0.578416065783562,0.389877796657712,0.568589430708787,0.229114026792812,0.602879823617754,0.571225501136958,0.389877796657712,0.55713366442559,0.225985324244366,0.564823379684578,0.688820358042427,0.389877796657712,0.682465683590949,0.187088134795294,0.669716545427719,0.786827708680371
"spambase",11,"forest","precision",0.851855368695148,0.851855368695148,0.83832018837511,0.839985257935048,0.839985257935048,0.838053748628861,0.851855368695148,0.847095177123346,0.811541614803751,0.833120522486486,0.860740593793725,0.851855368695148,0.84162677547258,0.835322422790467,0.861085172501268,0.925266097533329
"connect4",15,"forest","precision",0.477419389110226,0.477419389110226,0.477419389110226,0.477419389110226,0.477419389110226,0.477419389110226,0.477419389110226,0.477419389110226,0.477419389110226,0.477419389110226,0.477419389110226,0.477419389110226,0.477419389110226,0.506974789102699,0.551199435165735,0.956563661548738
"covtype",15,"forest","precision",0.549943285877689,0.549140595579513,0.556207691959162,0.551357562897097,0.542379621131902,0.556705665595008,0.549140595579513,0.550463753428024,0.525646726317816,0.52237911353077,0.549943285877689,0.549140595579513,0.556207691959162,0.551357562897097,0.542379621131902,0.582229235896413
"HIGGS",15,"forest","precision",0.596369560258342,0.596739860306523,0.56291419562267,0.568403594241288,0.568403594241288,0.594108419674618,0.596739860306523,0.56760566775157,0.55017003894651,0.56639553120796,0.573960843525703,0.596739860306523,0.567086183854167,0.556014076626693,0.54424571570939,0.653296533640633
"kdd",15,"forest","precision",0.95095465953473,0.95095465953473,0.95095465953473,0.95191962303838,0.951668620808204,0.949984415743434,0.95095465953473,0.95095465953473,0.951625605067777,0.952629995519596,0.952200814576987,0.95095465953473,0.950481183044204,0.952228187436682,0.949094249749667,0.625410335825676
"simulC2",15,"forest","precision",0.531248731141655,0.531621616286556,0.509877951067642,0.522933436109847,0.522933436109847,0.53198235379448,0.531621616286556,0.508852575812736,0.504886957301514,0.521022851082065,0.616122198506628,0.531621616286556,0.607962297624259,0.455773056821228,0.620932754723364,0.624224339188562
"simulC8",15,"forest","precision",0.455775757528845,0.310914441087371,0.485764209883091,0.189525672761157,0.554343942825985,0.480443209204723,0.310914441087371,0.469710288187714,0.194286997307235,0.526869026960722,0.70667663841794,0.310914441087371,0.682815645749126,0.19858936350047,0.694340230852212,0.786827708680371
"spambase",15,"forest","precision",0.86564923215041,0.86564923215041,0.861599072615507,0.868732839034293,0.868732839034293,0.86060140813082,0.86564923215041,0.863402943815671,0.85208220375072,0.865195170344561,0.858836404942962,0.86564923215041,0.860497815531864,0.859345678954678,0.855321555494184,0.925266097533329
"connect4",2,"lda","precision",0.517644426733393,0.518156449464312,0.480885377243364,0.516721437960281,0.518003298903153,0.525703328568732,0.518156449464312,0.499789621436791,0.517966118786979,0.528608413672723,0.534093328376913,0.518156449464312,0.527657591412038,0.515586397730774,0.534257541401038,0.923807149716813
"covtype",2,"lda","precision",0.625845671577087,0.627455862404153,0.57756567823673,0.628961565562648,0.628446779614852,0.597124640622145,0.627455862404153,0.576501148109664,0.629927682863482,0.58827692210146,0.625683049394499,0.627455862404153,0.586024356058847,0.628961565562648,0.628282855361006,0.515359027849874
"HIGGS",2,"lda","precision",0.580217385033634,0.580217385033634,0.53344830807038,0.580217385033634,0.580217385033634,0.581854639923966,0.580217385033634,0.566322646222353,0.580620838481332,0.571707390791215,0.580733872502126,0.580217385033634,0.567836884717377,0.575109205215308,0.578660884949425,0.614894368260213
